900	2100
918	2100
936	2100
953	2100
971	2100
989	2100
1007	2100
1025	2100
1042	2100
1060	2100
1078	2100
1096	2100
1114	2100
1132	2100
1149	2100
1167	2100
1185	2100
1203	2100
1221	2100
1238	2100
1256	2100
1274	2100
1292	2100
1310	2100
1327	2100
1345	2100
1363	2100
1381	2100
1399	2100
1416	2100
1434	2100
1452	2100
1470	2100
1488	2100
1505	2100
1523	2100
1541	2100
1559	2100
1577	2100
1595	2100
1612	2100
1630	2100
1648	2100
1666	2100
1684	2100
1701	2100
1719	2100
1737	2100
1755	2100
1773	2100
1790	2100
1808	2100
1826	2100
1844	2100
1862	2100
1879	2100
1897	2100
1915	2100
1933	2100
1951	2100
1968	2100
1986	2100
2004	2100
2022	2100
2040	2100
2058	2100
2075	2100
2093	2100
2111	2100
2129	2100
2147	2100
2164	2100
2182	2100
2200	2100
2200	2100
2200	2121
2200	2143
2200	2164
2200	2186
2200	2207
2200	2229
2200	2250
2200	2271
2200	2293
2200	2314
2200	2336
2200	2357
2200	2379
2200	2400
2200	2421
2200	2443
2200	2464
2200	2486
2200	2507
2200	2529
2200	2550
2350	2700
2369	2700
2388	2700
2408	2700
2427	2700
2446	2700
2465	2700
2485	2700
2504	2700
2523	2700
2542	2700
2562	2700
2581	2700
2600	2700
2619	2700
2638	2700
2658	2700
2677	2700
2696	2700
2715	2700
2735	2700
2754	2700
2773	2700
2792	2700
2812	2700
2831	2700
2850	2700
3000	2550
3000	2529
3000	2507
3000	2486
3000	2464
3000	2443
3000	2421
3000	2400
3000	2379
3000	2357
3000	2336
3000	2314
3000	2293
3000	2271
3000	2250
3000	2229
3000	2207
3000	2186
3000	2164
3000	2143
3000	2121
3000	2100
